,TCI
1990-09-30,5.068478463213353
1990-10-31,22.347934959233964
1990-11-30,28.461426689011848
1990-12-31,28.071971021425433
1991-01-31,27.819228968863445
1991-02-28,27.38984908478601
1991-03-31,27.440103697872917
1991-04-30,27.293129675482753
1991-05-31,26.72270115635058
1991-06-30,27.93933647742538
1991-07-31,29.05656906361876
1991-08-31,28.38162099282905
1991-09-30,27.84200621016975
1991-10-31,27.194928957247146
1991-11-30,27.338919659433714
1991-12-31,26.422955682361696
1992-01-31,25.941382867434676
1992-02-29,25.44653488667233
1992-03-31,28.949741392488413
1992-04-30,29.492039570906208
1992-05-31,28.65626977034981
1992-06-30,30.063615691608145
1992-07-31,28.18075768376273
1992-08-31,26.78140170334216
1992-09-30,24.761295536146452
1992-10-31,25.49221657416096
1992-11-30,23.45444015514787
1992-12-31,22.92252153775644
1993-01-31,22.67143359441958
1993-02-28,22.535077254023612
1993-03-31,21.938622339041327
1993-04-30,21.02034948795473
1993-05-31,20.704319552486172
1993-06-30,20.517071925975284
1993-07-31,20.257243875216098
1993-08-31,20.77967715230102
1993-09-30,21.006609093554438
1993-10-31,21.14059747336822
1993-11-30,23.883971531578396
1993-12-31,26.543095436372205
1994-01-31,22.929287945417407
1994-02-28,24.430450970257258
1994-03-31,26.66413664694924
1994-04-30,26.297528998769064
1994-05-31,25.060715671345086
1994-06-30,25.48110813236591
1994-07-31,25.74163621233052
1994-08-31,25.99131463988643
1994-09-30,27.330264105506124
1994-10-31,27.3040011587074
1994-11-30,28.02174173589422
1994-12-31,27.83659947322881
1995-01-31,27.107516640843507
1995-02-28,25.312388823728167
1995-03-31,24.821638459087296
1995-04-30,24.4053565151801
1995-05-31,24.28590173777022
1995-06-30,24.192694097825775
1995-07-31,25.007247861930324
1995-08-31,24.723428098071285
1995-09-30,24.655418138614998
1995-10-31,24.62166549965337
1995-11-30,24.932547428296807
1995-12-31,25.079305945776706
1996-01-31,25.492154931904942
1996-02-29,26.151862259195298
1996-03-31,25.540158147321844
1996-04-30,25.142303942155262
1996-05-31,24.40115746462083
1996-06-30,24.386078277106247
1996-07-31,24.7923943293965
1996-08-31,24.327504462090292
1996-09-30,25.23756933807207
1996-10-31,24.574438535982274
1996-11-30,25.077065356709056
1996-12-31,25.4204973900062
1997-01-31,22.846611103173878
1997-02-28,22.660619820629783
1997-03-31,22.97638967814076
1997-04-30,23.258166403528257
1997-05-31,26.749218891877383
1997-06-30,26.566264663592705
1997-07-31,27.338633332974684
1997-08-31,33.753999404106516
1997-09-30,32.98618636338328
1997-10-31,38.51481199719313
1997-11-30,36.910868763164295
1997-12-31,35.3004238235728
1998-01-31,31.640979071650243
1998-02-28,34.70465878640642
1998-03-31,34.62534217699714
1998-04-30,34.44873101053321
1998-05-31,35.78355250571023
1998-06-30,35.68986167435244
1998-07-31,35.325412419915
1998-08-31,43.4360602623897
1998-09-30,40.55595078101409
1998-10-31,39.286656748759064
1998-11-30,39.399147896767616
1998-12-31,38.416199299934384
1999-01-31,37.16667263884961
1999-02-28,36.257645126301654
1999-03-31,37.121294640144654
1999-04-30,36.636458463668745
1999-05-31,37.76411018823527
1999-06-30,37.860370361957635
1999-07-31,37.47408431601558
1999-08-31,37.34195309862726
1999-09-30,37.307080785325454
1999-10-31,37.412696324739684
1999-11-30,37.84154030492431
1999-12-31,38.701232122060766
2000-01-31,37.27325868722868
2000-02-29,36.36413352911889
2000-03-31,35.671700037449355
2000-04-30,37.77255220677175
2000-05-31,38.48925507058574
2000-06-30,38.087179282414276
2000-07-31,37.761185320006874
2000-08-31,38.06886194816259
2000-09-30,40.17460022159417
2000-10-31,41.1275204402172
2000-11-30,39.96006566836179
2000-12-31,39.59605180982861
2001-01-31,39.59326025749537
2001-02-28,41.89256322612762
2001-03-31,43.78610184278983
2001-04-30,44.50351172926137
2001-05-31,44.36055991748286
2001-06-30,44.72102634720135
2001-07-31,45.750110333781784
2001-08-31,47.46667469811513
2001-09-30,52.372690686464956
2001-10-31,51.915795041643364
2001-11-30,53.37643825126359
2001-12-31,53.29921360812473
2002-01-31,53.27343841025665
2002-02-28,52.11367643754128
2002-03-31,52.179947582757926
2002-04-30,50.139027437235725
2002-05-31,50.10810042319608
2002-06-30,50.56563742950933
2002-07-31,52.831569111959524
2002-08-31,52.05345855938392
2002-09-30,52.44186559752897
2002-10-31,50.05086477749802
2002-11-30,52.09461280334915
2002-12-31,52.25161167535416
2003-01-31,51.9645588899337
2003-02-28,51.29352165503356
2003-03-31,51.517458210778386
2003-04-30,50.341641777557776
2003-05-31,52.01980775116313
2003-06-30,52.12286368830754
2003-07-31,52.830850541021526
2003-08-31,53.55268183467788
2003-09-30,53.47191913469995
2003-10-31,54.72994194885649
2003-11-30,54.34546683801544
2003-12-31,54.859740079856316
2004-01-31,54.12513567206545
2004-02-29,53.88088348460845
2004-03-31,52.225692277419476
2004-04-30,51.217583644923344
2004-05-31,49.99618878990153
2004-06-30,49.57912866351044
2004-07-31,48.661501854143225
2004-08-31,48.410245494474694
2004-09-30,47.99616761759181
2004-10-31,47.89686218611429
2004-11-30,48.60645095507582
2004-12-31,48.84119930180813
2005-01-31,48.6342085413224
2005-02-28,48.945815587089534
2005-03-31,49.35207324792138
2005-04-30,49.32655154797139
2005-05-31,49.33631396749069
2005-06-30,49.554249333699104
2005-07-31,50.26126546402612
2005-08-31,49.83387945018262
2005-09-30,50.44708632201194
2005-10-31,51.176170444995805
2005-11-30,52.5122654471773
2005-12-31,52.220853865894355
2006-01-31,52.88500515803465
2006-02-28,52.71926527756572
2006-03-31,52.47652338844622
2006-04-30,52.21826801288157
2006-05-31,56.14558883264199
2006-06-30,55.84501014252688
2006-07-31,55.52847802517429
2006-08-31,55.39213940822943
2006-09-30,55.146438010187
2006-10-31,55.58606284803121
2006-11-30,55.02542489088955
2006-12-31,54.735037285851455
2007-01-31,54.68305293348625
2007-02-28,54.37647828976209
2007-03-31,54.03832498976205
2007-04-30,54.11160915549715
2007-05-31,54.312124531764994
2007-06-30,53.17514318746847
2007-07-31,49.98918679558783
2007-08-31,49.68996624953279
2007-09-30,51.239431427001705
2007-10-31,51.33537851675285
2007-11-30,55.9985563325868
2007-12-31,54.66823071373902
2008-01-31,63.52391070132404
2008-02-29,62.09642646571202
2008-03-31,62.825989601429875
2008-04-30,64.57609524583752
2008-05-31,63.52706501409591
2008-06-30,66.81829215495756
2008-07-31,65.73571803372927
2008-08-31,64.22191206256215
2008-09-30,67.59760065115623
2008-10-31,72.9672369240865
2008-11-30,72.17198146536434
2008-12-31,72.16370122742174
2009-01-31,72.27876430673997
2009-02-28,71.63978555953273
2009-03-31,71.80540635996536
2009-04-30,72.43279607896228
2009-05-31,72.30200559004102
2009-06-30,71.678103472851
2009-07-31,71.79240735402908
2009-08-31,70.89292099851002
2009-09-30,70.36760162150108
2009-10-31,69.98097111466144
2009-11-30,69.00478982393543
2009-12-31,68.26421304565352
2010-01-31,68.59151099208282
2010-02-28,68.55312003743678
2010-03-31,68.61731493841735
2010-04-30,68.53245197620825
2010-05-31,69.18857384703779
2010-06-30,68.42057673899042
2010-07-31,68.17342079531451
2010-08-31,68.05374742583123
2010-09-30,69.02517499753598
2010-10-31,68.73103329317082
2010-11-30,67.8732879936768
2010-12-31,67.53644261378768
2011-01-31,66.59741327888996
2011-02-28,66.10093517190471
2011-03-31,64.91297918565054
2011-04-30,64.69419996257302
2011-05-31,64.73643757650936
2011-06-30,64.30295856035349
2011-07-31,64.16690457592901
2011-08-31,65.87067880450498
2011-09-30,64.98223685969623
2011-10-31,66.83645993141754
2011-11-30,66.88306256677144
2011-12-31,66.69138661647267
2012-01-31,66.953034817676
2012-02-29,66.84310032410224
2012-03-31,66.20930021575253
2012-04-30,65.89104622209051
2012-05-31,67.37670092927668
2012-06-30,67.9143903228111
2012-07-31,67.70400982867841
2012-08-31,67.56698953800162
2012-09-30,67.42372043254531
2012-10-31,67.15276433823263
2012-11-30,66.97653256266918
2012-12-31,66.28068065609432
2013-01-31,66.19822809424622
2013-02-28,65.52385242286971
2013-03-31,64.83426989748106
2013-04-30,64.22632532764365
2013-05-31,63.97419328495748
2013-06-30,63.7303323153108
2013-07-31,63.029338331107034
2013-08-31,63.10519300189683
2013-09-30,63.1868437784904
2013-10-31,62.57866767102089
2013-11-30,61.825139887730835
2013-12-31,61.49509098630722
2014-01-31,62.50474351619165
2014-02-28,62.471430220563306
2014-03-31,61.48754450285372
2014-04-30,61.23086686243399
2014-05-31,61.55553246368687
2014-06-30,61.08813430601708
2014-07-31,60.211632873650444
2014-08-31,59.84071278724483
2014-09-30,58.36641008776312
2014-10-31,57.861106086611855
2014-11-30,57.61273630036176
2014-12-31,57.752224357685066
2015-01-31,56.45000640593346
2015-02-28,56.15129540648693
2015-03-31,55.79204516118521
2015-04-30,52.84302244117005
2015-05-31,52.281635501514174
2015-06-30,52.32006108795389
2015-07-31,50.48872669645771
2015-08-31,55.361382270288644
2015-09-30,55.550013945660815
2015-10-31,56.92940417044677
2015-11-30,56.814686862480926
2015-12-31,56.7580918306988
2016-01-31,59.38943374597968
2016-02-29,58.596957986434006
2016-03-31,60.193660120867456
2016-04-30,60.12403704984138
2016-05-31,59.91144042718169
2016-06-30,57.20713206751111
2016-07-31,58.5335564115112
2016-08-31,58.28535163474644
2016-09-30,57.881840637860236
2016-10-31,56.86223829112295
2016-11-30,55.205590770471474
2016-12-31,53.8128281282963
2017-01-31,53.854612303974
2017-02-28,53.690367936117596
2017-03-31,53.50700260688552
2017-04-30,53.22425930400078
2017-05-31,53.447862123810545
2017-06-30,53.23465407904191
2017-07-31,52.758117746539334
2017-08-31,52.452424938907356
2017-09-30,51.83701290417257
2017-10-31,52.53411897374322
2017-11-30,51.43875769352129
2017-12-31,51.01812908149521
2018-01-31,50.53767886930842
2018-02-28,55.77804093564559
2018-03-31,56.64915582657486
2018-04-30,56.472170608262864
2018-05-31,55.253699979686004
2018-06-30,54.85682270375804
2018-07-31,54.28455156837998
2018-08-31,52.398617354537635
2018-09-30,49.712836898036365
2018-10-31,57.13777144832143
2018-11-30,56.37431630138376
2018-12-31,56.92934932046769
2019-01-31,56.2904079945544
2019-02-28,55.850696558844696
2019-03-31,55.53376653679959
2019-04-30,55.66092463523349
2019-05-31,56.21348008180212
2019-06-30,56.07091189950872
2019-07-31,54.494771015343325
2019-08-31,55.21147776257452
2019-09-30,55.69361210083455
2019-10-31,55.191959429000384
2019-11-30,54.68917513851615
2019-12-31,54.550995355011125
2020-01-31,55.1358218381151
2020-02-29,57.33898682982423
2020-03-31,67.34887378013076
2020-04-30,67.98656623090811
2020-05-31,66.18259242516731
2020-06-30,66.03475344815574
2020-07-31,64.66804307309096
2020-08-31,64.6465019369461
2020-09-30,64.653792119509
2020-10-31,64.03930063834267
2020-11-30,66.85321088007578
2020-12-31,67.03020147714886
2021-01-31,66.6794817293833
2021-02-28,66.72856171852506
2021-03-31,66.26764902836342
2021-04-30,65.63735568856984
2021-05-31,65.50088233516661
2021-06-30,65.3620317039414
2021-07-31,63.86369491943947
2021-08-31,63.78027366405403
2021-09-30,62.37438338576358
2021-10-31,61.746372442556336
2021-11-30,62.09362886986662
2021-12-31,62.02500549836547
2022-01-31,60.72934425425948
2022-02-28,60.43851751000109
2022-03-31,59.51824361576986
2022-04-30,59.206297201818174
2022-05-31,58.70989204376698
2022-06-30,58.17572851239944
2022-07-31,53.6857438069233
2022-08-31,53.33963524210353
2022-09-30,57.232551886902776
2022-10-31,52.06133457425557
2022-11-30,53.51529680468533
2022-12-31,52.23502156904567
2023-01-31,52.692902880009
2023-02-28,52.090972743421865
2023-03-31,51.418742459489806
2023-04-30,51.47939056511582
2023-05-31,49.61335769928373
2023-06-30,49.89900531511088
2023-07-31,50.0807117213424
2023-08-31,50.719283891429384
2023-09-30,49.75518283361538
2023-10-31,50.696218099229306
2023-11-30,51.11591961844951
2023-12-31,50.792690630866815
2024-01-31,49.1510966878936
2024-02-29,48.38320773704838
2024-03-31,48.486129785024396
2024-04-30,47.22233354025545
2024-05-31,47.362751508343656
2024-06-30,46.683151764135395
2024-07-31,46.09453292338034
2024-08-31,45.96533453035537
2024-09-30,44.09364351682915
2024-10-31,43.522185733862166
2024-11-30,41.7609932250524
2024-12-31,40.237618604104505
2025-01-31,39.15535330315991
